person_id,household_id,day,start_time_min,end_time_min,purpose,zone_id,x,y,zone,activity_type
17,6,1,0,470,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,1,470,800,EDUCATION,172,4456602.57259785,5404609.35614321,172,MANDATORY
17,6,1,780,825,SUBTOUR,184,4457590.85529528,5404761.53638354,184,MANDATORY
17,6,1,800,916,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,1,800,916,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,1,921,946,SHOPPING,203,4456671.78948393,5401750.27633691,203,SHOP_PRIMARY
17,6,1,951,1439,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,2,1440,1909,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,2,1917,2382,EDUCATION,124,4464346.14847911,5407262.17303227,124,MANDATORY
17,6,2,2220,2250,SUBTOUR,122,4463118.3103861,5408460.90488996,122,MANDATORY
17,6,2,2390,2879,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,3,2880,3310,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,3,3315,3900,EDUCATION,305,4457600.19447568,5401229.96266049,305,MANDATORY
17,6,3,3905,4111,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,3,3905,4111,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,3,4113,4203,RECREATION,190,4458144.08685607,5404341.25568038,190,RECREATION_PRIMARY
17,6,3,4205,4319,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,4,4320,4780,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,4,4781,5126,EDUCATION,194,4457497.77428206,5403409.44416547,194,MANDATORY
17,6,4,5070,5130,SUBTOUR,145,4458612.9657665,5405638.76258109,145,MANDATORY
17,6,4,5127,5622,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,4,5127,5622,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,4,5629,5629,RECREATION,347,4461974.59696065,5401632.30494458,347,RECREATION_PRIMARY
17,6,4,5636,5759,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,5,5760,6251,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,5,6254,6269,ACCOMPANY,207,4457867.26741797,5402643.53001222,207,ACCOMPANY_PRIMARY
17,6,5,6272,6582,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,5,6272,6582,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,5,6588,6708,RECREATION,242,4461554.32398197,5403314.32459928,242,RECREATION_PRIMARY
17,6,5,6714,7199,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,6,7200,7686,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,6,7694,7719,SHOPPING,322,4456789.81585764,5399202.79817099,322,SHOP_PRIMARY
17,6,6,7727,7992,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,6,7727,7992,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,6,7992,8007,ACCOMPANY,172,4456840.11395689,5404738.39124016,172,ACCOMPANY_PRIMARY
17,6,6,8007,8639,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,7,8640,9207,HOME,174,4456712.5,5404189,174,MANDATORY
17,6,7,9210,9330,RECREATION,226,4459527.79081545,5404127.6722942,226,RECREATION_PRIMARY
17,6,7,9333,10079,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,1,0,448,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,1,450,990,EDUCATION,198,4458326.9429242,5403669.80676588,198,MANDATORY
18,6,1,690,720,SUBTOUR,198,4458091.2631698,5403541.6716101,198,MANDATORY
18,6,1,992,1439,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,2,1440,1894,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,2,1896,2286,EDUCATION,198,4458241.44567683,5403666.49391555,198,MANDATORY
18,6,2,2160,2190,SUBTOUR,342,4459474.35214964,5400554.70090415,342,MANDATORY
18,6,2,2288,2336,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,2,2288,2336,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,2,2339,2354,ACCOMPANY,232,4459649.62676675,5403829.29047618,232,ACCOMPANY_PRIMARY
18,6,2,2357,2879,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,3,2880,3344,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,3,3347,3647,EDUCATION,207,4457814.51263776,5402719.42740402,207,MANDATORY
18,6,3,3615,3660,SUBTOUR,205,4457891.02233496,5402923.49842474,205,MANDATORY
18,6,3,3650,4319,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,4,4320,5010,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,4,5010,5460,EDUCATION,172,4456716.72746644,5404616.5439479,172,MANDATORY
18,6,4,5025,5040,SUBTOUR,208,4458525.79355148,5402514.62634611,208,MANDATORY
18,6,4,5460,5592,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,4,5460,5592,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,4,5592,5712,RECREATION,174,4456575.1241256,5404475.1218123,174,RECREATION_PRIMARY
18,6,4,5712,5759,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,5,5760,6313,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,5,6315,6450,EDUCATION,198,4458404.08167304,5403621.51890054,198,MANDATORY
18,6,5,6452,6633,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,5,6452,6633,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,5,6635,6660,SHOPPING,195,4457697.02781879,5403689.75250344,195,SHOP_PRIMARY
18,6,5,6662,6677,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,5,6662,6677,HOME,174,4456712.5,5404189,174,MANDATORY
18,6,5,6680,6710,OTHER,207,4458025.70693586,5402881.76208281,207,OTHER_PRIMARY
18,6,5,6713,7199,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,1,0,560,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,1,567,687,RECREATION,301,4456536.83981529,5400482.04202445,301,RECREATION_PRIMARY
19,6,1,694,1092,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,1,694,1092,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,1,1098,1218,RECREATION,132,4451461.47546524,5406426.32425819,132,RECREATION_PRIMARY
19,6,1,1224,1439,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,2,1440,2449,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,2,2451,2571,RECREATION,201,4456756.18888848,5403153.2854752,201,RECREATION_PRIMARY
19,6,2,2573,2879,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,3,2880,3744,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,3,3744,3804,RECREATION,186,4457476.89973576,5404316.00131916,186,RECREATION_PRIMARY
19,6,3,3804,4319,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,5,5760,6653,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,5,6660,6735,RECREATION,347,4461960.30377313,5401134.7969623,347,RECREATION_PRIMARY
19,6,5,6735,6870,RECREATION,348,4462291.68601142,5399510.55641374,348,RECREATION_ON_RECREATION
19,6,5,6878,7199,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,7,8640,9136,HOME,174,4456712.5,5404189,174,MANDATORY
19,6,7,9137,9227,RECREATION,144,4457289.37173682,5405274.70939079,144,RECREATION_PRIMARY
19,6,7,9228,10079,HOME,174,4456712.5,5404189,174,MANDATORY
52,17,1,0,874,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,1,876,996,RECREATION,208,4458120.50775468,5402896.11415642,208,RECREATION_PRIMARY
52,17,1,998,1023,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,1,998,1023,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,1,1026,1056,RECREATION,339,4459337.47915771,5401181.35560619,339,RECREATION_PRIMARY
52,17,1,1059,1439,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,2,1440,1985,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,2,1996,2026,SHOPPING,120,4467648.97729116,5411179.52647492,120,SHOP_ON_SHOP
52,17,2,2043,2068,SHOPPING,253,4461548.13286076,5401842.5926255,253,SHOP_PRIMARY
52,17,2,2072,2466,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,2,2072,2466,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,2,2471,2496,SHOPPING,179,4456425.88007285,5403477.23639776,179,SHOP_PRIMARY
52,17,2,2501,2879,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,3,2880,3267,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,3,3274,3394,RECREATION,151,4454516.05608328,5403525.25461967,151,RECREATION_PRIMARY
52,17,3,3401,3480,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,3,3401,3480,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,3,3490,3515,SHOPPING,132,4453708.5096553,5406229.15620056,132,SHOP_PRIMARY
52,17,3,3525,3780,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,3,3525,3780,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,3,3786,3811,SHOPPING,354,4461689.0701137,5398316.82548931,354,SHOP_PRIMARY
52,17,3,3817,3912,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,3,3817,3912,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,3,3913,4033,RECREATION,241,4460958.35238642,5403684.76497933,241,RECREATION_PRIMARY
52,17,3,4034,4319,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,4,4320,5118,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,4,5129,5249,RECREATION,131,4455164.78619583,5407774.0016061,131,RECREATION_PRIMARY
52,17,4,5260,5410,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,4,5260,5410,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,4,5414,5459,RECREATION,345,4459901.71395859,5400339.3657922,345,RECREATION_PRIMARY
52,17,4,5463,5759,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,5,5760,6914,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,5,6918,6943,SHOPPING,253,4461327.11994879,5401922.46917833,253,SHOP_PRIMARY
52,17,5,6947,7199,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,6,7200,7870,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,6,7872,7992,RECREATION,249,4460132.62577158,5402121.73162069,249,RECREATION_PRIMARY
52,17,6,7994,8002,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,6,7994,8002,HOME,237,4460026,5403523.5,237,MANDATORY
